Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
Natural Resources,1958,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural resources,1958,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1959,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1960,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1961,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1962,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1963,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1964,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1965,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Natural Resources,1966,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,,,http://opaquenamespace.org/ns/osuAcademicUnits/ax6ZqHX1,
Nuclear Engineering,1965,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Nuclear Engineering,1975,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1976,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1977,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1978,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1979,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1980,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1981,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1982,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1983,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1984,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1985,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1986,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1987,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1988,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1989,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1990,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1991,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1992,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1993,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1994,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1995,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1996,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1997,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1998,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,1999,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2000,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2001,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2002,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2003,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2004,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2005,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2006,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2007,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2008,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2009,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2010,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2011,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2012,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2013,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2014,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2015,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2016,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,,,http://opaquenamespace.org/ns/osuAcademicUnits/7arN41P2,
Nuclear Engineering,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nuclear Engineering and Radiation Health Physics,http://opaquenamespace.org/ns/osuAcademicUnits/9SNGGw8h,http://opaquenamespace.org/ns/osuAcademicUnits/9SNGGw8h,
Nursing Education,1954,http://opaquenamespace.org/ns/osuAcademicUnits/wEe5s4Kt,,,http://opaquenamespace.org/ns/osuAcademicUnits/wEe5s4Kt,
Nutrition,1935,NO URIS FOUND FOR THIS DEGREE AND YEAR,Foods and Nutrition,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,
Nutrition,1937,NO URIS FOUND FOR THIS DEGREE AND YEAR,Foods and Nutrition,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,
Nutrition,1970,NO URIS FOUND FOR THIS DEGREE AND YEAR,Foods and Nutrition,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,
Nutrition,1973,NO URIS FOUND FOR THIS DEGREE AND YEAR,Foods and Nutrition,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,http://opaquenamespace.org/ns/osuAcademicUnits/8hQrKEnG,
Nutrition,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition,2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition,2012,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition,2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Nutrition,2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Nutrition,2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Nutrition,2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Nutrition,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Nutrition and Exercise Sciences,2007,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,,,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition and Food Management,1990,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1991,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1992,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1993,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1994,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1995,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1996,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1997,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1998,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,1999,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2000,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2001,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2002,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2003,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2004,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2005,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2006,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,,,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Nutrition and Food Management,2007,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition and Food Management,2008,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition and Food Management,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Exercise Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,http://opaquenamespace.org/ns/osuAcademicUnits/2hE6dzQH,
Nutrition and Health Management,2001,NO URIS FOUND FOR THIS DEGREE AND YEAR,Nutrition and Food Management,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,http://opaquenamespace.org/ns/osuAcademicUnits/WGPC7brx,
Ocean Engineering,1970,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1974,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1976,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1977,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1980,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1981,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1982,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,http://opaquenamespace.org/ns/osuAcademicUnits/jBRedWFZ,
Ocean Engineering,1988,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,1991,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,1992,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,1994,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,1998,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,1999,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2005,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2006,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2007,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2008,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
Ocean Engineering,2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,College of Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,http://opaquenamespace.org/ns/osuAcademicUnits/HwFDNrFR,
"Ocean, Earth and Atmospheric Science",2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth and Atmospheric Sciences",2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth and Atmospheric Sciences",2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth and Atmospheric Sciences",2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth and Atmospheric Sciences",2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Science",2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Science",2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Science",2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Science",2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Sciences",2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Sciences",2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Ocean, Earth, and Atmospheric Sciences",2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
Oceangraphy,2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
Oceanography, ,MISSING GRADUATION YEAR,,,,
Oceanography,1962,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1963,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1964,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1965,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1966,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1967,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1968,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1969,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1970,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1971,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1972,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1973,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,,,http://opaquenamespace.org/ns/osuAcademicUnits/xUNr5bY2,
Oceanography,1974,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1975,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1976,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1977,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1978,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1979,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1980,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1981,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1982,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
Oceanography,1983,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Oceanography,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,http://opaquenamespace.org/ns/osuAcademicUnits/AZeIL0cg,
